user_id,role,experience_level
1,Product Manager,Entry Level
2,Database Administrator,Entry Level
3,Security Analyst,Senior
4,AI Engineer,Senior
5,Product Manager,Senior
6,Database Administrator,Entry Level
7,Network Administrator,Senior
8,UX Designer,Entry Level
9,Data Scientist,Mid Level
10,UX Designer,Mid Level
11,Security Analyst,Entry Level
12,AI Engineer,Mid Level
13,Cloud Architect,Entry Level
14,AI Engineer,Senior
15,DevOps Engineer,Senior
16,Network Administrator,Entry Level
17,DevOps Engineer,Entry Level
18,DevOps Engineer,Senior
19,Security Analyst,Entry Level
20,Product Manager,Mid Level
21,Network Administrator,Entry Level
22,Data Scientist,Mid Level
23,Cloud Architect,Mid Level
24,Security Analyst,Mid Level
25,Network Administrator,Senior
26,Product Manager,Entry Level
27,Database Administrator,Senior
28,DevOps Engineer,Mid Level
29,Software Developer,Mid Level
30,Database Administrator,Mid Level
31,UX Designer,Mid Level
32,AI Engineer,Mid Level
33,Data Scientist,Mid Level
34,Data Scientist,Mid Level
35,Network Administrator,Mid Level
36,Database Administrator,Mid Level
37,Product Manager,Entry Level
38,Database Administrator,Entry Level
39,Data Scientist,Senior
40,Security Analyst,Mid Level
41,Cloud Architect,Entry Level
42,Cloud Architect,Entry Level
43,Software Developer,Entry Level
44,Product Manager,Entry Level
45,Database Administrator,Entry Level
46,Database Administrator,Senior
47,DevOps Engineer,Entry Level
48,Database Administrator,Senior
49,DevOps Engineer,Entry Level
50,Security Analyst,Mid Level
51,Product Manager,Mid Level
52,Cloud Architect,Senior
53,Cloud Architect,Mid Level
54,Software Developer,Senior
55,Product Manager,Mid Level
56,Database Administrator,Entry Level
57,DevOps Engineer,Mid Level
58,DevOps Engineer,Entry Level
59,DevOps Engineer,Entry Level
60,DevOps Engineer,Entry Level
61,Security Analyst,Mid Level
62,Product Manager,Senior
63,Product Manager,Senior
64,Cloud Architect,Senior
65,AI Engineer,Mid Level
66,DevOps Engineer,Senior
67,Product Manager,Entry Level
68,Network Administrator,Entry Level
69,Network Administrator,Mid Level
70,Security Analyst,Senior
71,Product Manager,Entry Level
72,Network Administrator,Entry Level
73,Product Manager,Senior
74,DevOps Engineer,Mid Level
75,Data Scientist,Mid Level
76,Cloud Architect,Entry Level
77,UX Designer,Mid Level
78,AI Engineer,Senior
79,Cloud Architect,Senior
80,Software Developer,Entry Level
81,Cloud Architect,Senior
82,Cloud Architect,Entry Level
83,Cloud Architect,Senior
84,Product Manager,Mid Level
85,Database Administrator,Senior
86,Cloud Architect,Mid Level
87,Security Analyst,Entry Level
88,DevOps Engineer,Mid Level
89,Database Administrator,Senior
90,UX Designer,Entry Level
91,Network Administrator,Entry Level
92,Software Developer,Mid Level
93,Network Administrator,Mid Level
94,Product Manager,Mid Level
95,DevOps Engineer,Entry Level
96,Security Analyst,Entry Level
97,Database Administrator,Entry Level
98,Software Developer,Mid Level
99,Data Scientist,Mid Level
100,Product Manager,Entry Level
101,Software Developer,Entry Level
102,DevOps Engineer,Mid Level
103,Data Scientist,Entry Level
104,AI Engineer,Mid Level
105,Product Manager,Senior
106,Database Administrator,Senior
107,Software Developer,Senior
108,UX Designer,Entry Level
109,Network Administrator,Mid Level
110,UX Designer,Mid Level
111,Software Developer,Entry Level
112,UX Designer,Entry Level
113,DevOps Engineer,Senior
114,Network Administrator,Senior
115,AI Engineer,Senior
116,DevOps Engineer,Senior
117,Network Administrator,Entry Level
118,Software Developer,Senior
119,Data Scientist,Entry Level
120,Cloud Architect,Entry Level
121,Data Scientist,Senior
122,AI Engineer,Senior
123,Product Manager,Mid Level
124,Cloud Architect,Entry Level
125,Data Scientist,Entry Level
126,Security Analyst,Entry Level
127,Product Manager,Entry Level
128,Cloud Architect,Senior
129,DevOps Engineer,Senior
130,Network Administrator,Mid Level
131,Database Administrator,Entry Level
132,Database Administrator,Senior
133,Software Developer,Mid Level
134,Database Administrator,Mid Level
135,DevOps Engineer,Mid Level
136,Cloud Architect,Senior
137,Cloud Architect,Entry Level
138,Data Scientist,Mid Level
139,Data Scientist,Mid Level
140,UX Designer,Senior
141,Cloud Architect,Entry Level
142,Network Administrator,Entry Level
143,Security Analyst,Senior
144,DevOps Engineer,Entry Level
145,Software Developer,Senior
146,DevOps Engineer,Mid Level
147,Product Manager,Mid Level
148,UX Designer,Mid Level
149,DevOps Engineer,Mid Level
150,Database Administrator,Senior
151,Data Scientist,Entry Level
152,Software Developer,Senior
153,Software Developer,Entry Level
154,DevOps Engineer,Senior
155,Software Developer,Entry Level
156,Security Analyst,Mid Level
157,DevOps Engineer,Entry Level
158,Security Analyst,Entry Level
159,Software Developer,Mid Level
160,Security Analyst,Senior
161,DevOps Engineer,Entry Level
162,Network Administrator,Senior
163,Security Analyst,Senior
164,Software Developer,Senior
165,Data Scientist,Entry Level
166,AI Engineer,Senior
167,UX Designer,Mid Level
168,DevOps Engineer,Mid Level
169,Database Administrator,Mid Level
170,UX Designer,Senior
171,Data Scientist,Senior
172,AI Engineer,Mid Level
173,AI Engineer,Entry Level
174,Database Administrator,Entry Level
175,Cloud Architect,Senior
176,UX Designer,Senior
177,AI Engineer,Senior
178,AI Engineer,Senior
179,Data Scientist,Entry Level
180,Database Administrator,Entry Level
181,AI Engineer,Senior
182,Cloud Architect,Entry Level
183,Network Administrator,Entry Level
184,Database Administrator,Mid Level
185,DevOps Engineer,Senior
186,Data Scientist,Mid Level
187,Product Manager,Senior
188,UX Designer,Senior
189,Cloud Architect,Mid Level
190,UX Designer,Mid Level
191,AI Engineer,Mid Level
192,Software Developer,Mid Level
193,UX Designer,Senior
194,UX Designer,Senior
195,Security Analyst,Entry Level
196,Database Administrator,Entry Level
197,Security Analyst,Senior
198,Network Administrator,Mid Level
199,Network Administrator,Mid Level
200,DevOps Engineer,Senior
201,Database Administrator,Entry Level
202,Data Scientist,Mid Level
203,DevOps Engineer,Entry Level
204,Database Administrator,Senior
205,DevOps Engineer,Mid Level
206,Product Manager,Mid Level
207,Security Analyst,Mid Level
208,Security Analyst,Mid Level
209,Product Manager,Senior
210,Cloud Architect,Entry Level
211,Software Developer,Mid Level
212,AI Engineer,Entry Level
213,Data Scientist,Mid Level
214,UX Designer,Entry Level
215,Database Administrator,Entry Level
216,Security Analyst,Entry Level
217,Product Manager,Senior
218,Security Analyst,Mid Level
219,Product Manager,Senior
220,AI Engineer,Senior
221,Security Analyst,Mid Level
222,Cloud Architect,Entry Level
223,Security Analyst,Senior
224,Software Developer,Mid Level
225,Network Administrator,Entry Level
226,AI Engineer,Mid Level
227,Security Analyst,Senior
228,Network Administrator,Entry Level
229,Security Analyst,Senior
230,AI Engineer,Mid Level
231,UX Designer,Entry Level
232,Network Administrator,Mid Level
233,Network Administrator,Senior
234,AI Engineer,Mid Level
235,DevOps Engineer,Mid Level
236,Software Developer,Entry Level
237,Network Administrator,Senior
238,Data Scientist,Entry Level
239,Network Administrator,Mid Level
240,DevOps Engineer,Entry Level
241,Software Developer,Entry Level
242,DevOps Engineer,Senior
243,Security Analyst,Senior
244,Software Developer,Entry Level
245,Database Administrator,Mid Level
246,Data Scientist,Entry Level
247,DevOps Engineer,Mid Level
248,DevOps Engineer,Senior
249,Software Developer,Mid Level
250,Database Administrator,Entry Level
251,AI Engineer,Mid Level
252,AI Engineer,Mid Level
253,Data Scientist,Senior
254,Cloud Architect,Senior
255,Network Administrator,Mid Level
256,Security Analyst,Mid Level
257,Database Administrator,Entry Level
258,Security Analyst,Entry Level
259,Cloud Architect,Mid Level
260,Security Analyst,Entry Level
261,Database Administrator,Senior
262,Software Developer,Senior
263,Network Administrator,Mid Level
264,Software Developer,Senior
265,Database Administrator,Senior
266,Security Analyst,Entry Level
267,Product Manager,Entry Level
268,Product Manager,Entry Level
269,DevOps Engineer,Entry Level
270,Software Developer,Entry Level
271,Network Administrator,Entry Level
272,UX Designer,Entry Level
273,DevOps Engineer,Entry Level
274,Network Administrator,Entry Level
275,Cloud Architect,Senior
276,Cloud Architect,Senior
277,Network Administrator,Senior
278,AI Engineer,Senior
279,Security Analyst,Entry Level
280,DevOps Engineer,Entry Level
281,Network Administrator,Senior
282,Security Analyst,Entry Level
283,Product Manager,Entry Level
284,Product Manager,Entry Level
285,Security Analyst,Mid Level
286,AI Engineer,Senior
287,AI Engineer,Entry Level
288,DevOps Engineer,Senior
289,Data Scientist,Senior
290,Cloud Architect,Mid Level
291,AI Engineer,Entry Level
292,UX Designer,Senior
293,Database Administrator,Mid Level
294,Cloud Architect,Mid Level
295,AI Engineer,Mid Level
296,Security Analyst,Entry Level
297,Security Analyst,Mid Level
298,DevOps Engineer,Entry Level
299,Software Developer,Mid Level
300,Network Administrator,Entry Level
301,Product Manager,Entry Level
302,Network Administrator,Mid Level
303,DevOps Engineer,Entry Level
304,UX Designer,Senior
305,AI Engineer,Mid Level
306,DevOps Engineer,Senior
307,DevOps Engineer,Entry Level
308,Data Scientist,Mid Level
309,AI Engineer,Entry Level
310,Cloud Architect,Senior
311,Software Developer,Senior
312,Cloud Architect,Senior
313,Software Developer,Entry Level
314,Database Administrator,Entry Level
315,UX Designer,Entry Level
316,UX Designer,Mid Level
317,Security Analyst,Mid Level
318,Security Analyst,Senior
319,Security Analyst,Senior
320,DevOps Engineer,Entry Level
321,Data Scientist,Senior
322,Cloud Architect,Entry Level
323,Software Developer,Entry Level
324,UX Designer,Mid Level
325,DevOps Engineer,Senior
326,Cloud Architect,Senior
327,AI Engineer,Mid Level
328,Database Administrator,Entry Level
329,Database Administrator,Mid Level
330,Network Administrator,Mid Level
331,Database Administrator,Mid Level
332,Data Scientist,Entry Level
333,Cloud Architect,Senior
334,UX Designer,Senior
335,Software Developer,Entry Level
336,Software Developer,Entry Level
337,Network Administrator,Entry Level
338,DevOps Engineer,Entry Level
339,UX Designer,Mid Level
340,DevOps Engineer,Entry Level
341,Cloud Architect,Mid Level
342,AI Engineer,Mid Level
343,Data Scientist,Senior
344,Security Analyst,Senior
345,Database Administrator,Entry Level
346,UX Designer,Entry Level
347,Data Scientist,Senior
348,Software Developer,Senior
349,Security Analyst,Mid Level
350,Cloud Architect,Mid Level
351,Software Developer,Entry Level
352,Software Developer,Mid Level
353,Cloud Architect,Senior
354,Software Developer,Entry Level
355,Product Manager,Mid Level
356,Software Developer,Entry Level
357,Security Analyst,Mid Level
358,DevOps Engineer,Entry Level
359,Product Manager,Entry Level
360,Security Analyst,Entry Level
361,AI Engineer,Mid Level
362,DevOps Engineer,Entry Level
363,Security Analyst,Mid Level
364,Cloud Architect,Mid Level
365,Software Developer,Senior
366,Network Administrator,Mid Level
367,Software Developer,Entry Level
368,Database Administrator,Mid Level
369,Database Administrator,Senior
370,AI Engineer,Mid Level
371,Data Scientist,Mid Level
372,UX Designer,Senior
373,Data Scientist,Entry Level
374,UX Designer,Entry Level
375,Cloud Architect,Entry Level
376,Product Manager,Senior
377,Security Analyst,Entry Level
378,Data Scientist,Senior
379,DevOps Engineer,Senior
380,UX Designer,Mid Level
381,UX Designer,Mid Level
382,Data Scientist,Mid Level
383,DevOps Engineer,Senior
384,Data Scientist,Entry Level
385,UX Designer,Entry Level
386,Database Administrator,Senior
387,Product Manager,Mid Level
388,DevOps Engineer,Entry Level
389,Security Analyst,Entry Level
390,Network Administrator,Mid Level
391,Database Administrator,Entry Level
392,AI Engineer,Entry Level
393,Network Administrator,Entry Level
394,Data Scientist,Mid Level
395,Security Analyst,Mid Level
396,DevOps Engineer,Senior
397,Cloud Architect,Senior
398,Product Manager,Senior
399,UX Designer,Entry Level
400,DevOps Engineer,Senior
401,Data Scientist,Entry Level
402,AI Engineer,Senior
403,DevOps Engineer,Entry Level
404,Security Analyst,Mid Level
405,AI Engineer,Entry Level
406,UX Designer,Entry Level
407,UX Designer,Entry Level
408,Security Analyst,Entry Level
409,AI Engineer,Mid Level
410,Data Scientist,Entry Level
411,AI Engineer,Entry Level
412,Cloud Architect,Mid Level
413,Cloud Architect,Senior
414,Cloud Architect,Mid Level
415,Database Administrator,Mid Level
416,Software Developer,Mid Level
417,Network Administrator,Entry Level
418,Database Administrator,Entry Level
419,DevOps Engineer,Entry Level
420,Network Administrator,Senior
421,Database Administrator,Mid Level
422,AI Engineer,Senior
423,Database Administrator,Mid Level
424,AI Engineer,Mid Level
425,Database Administrator,Senior
426,Product Manager,Senior
427,Product Manager,Mid Level
428,Data Scientist,Mid Level
429,UX Designer,Senior
430,DevOps Engineer,Senior
431,Cloud Architect,Senior
432,Security Analyst,Mid Level
433,Product Manager,Entry Level
434,Software Developer,Senior
435,UX Designer,Mid Level
436,Cloud Architect,Entry Level
437,Network Administrator,Entry Level
438,Network Administrator,Mid Level
439,DevOps Engineer,Entry Level
440,Data Scientist,Senior
441,Network Administrator,Senior
442,UX Designer,Mid Level
443,Database Administrator,Entry Level
444,DevOps Engineer,Mid Level
445,Cloud Architect,Entry Level
446,UX Designer,Mid Level
447,Data Scientist,Senior
448,Database Administrator,Senior
449,UX Designer,Entry Level
450,Cloud Architect,Entry Level
451,Security Analyst,Mid Level
452,Security Analyst,Mid Level
453,UX Designer,Senior
454,Network Administrator,Mid Level
455,Database Administrator,Senior
456,Cloud Architect,Senior
457,DevOps Engineer,Senior
458,Database Administrator,Entry Level
459,Network Administrator,Senior
460,UX Designer,Mid Level
461,Network Administrator,Senior
462,Network Administrator,Senior
463,UX Designer,Mid Level
464,Software Developer,Mid Level
465,Database Administrator,Mid Level
466,DevOps Engineer,Mid Level
467,Cloud Architect,Mid Level
468,Database Administrator,Mid Level
469,DevOps Engineer,Entry Level
470,Security Analyst,Mid Level
471,AI Engineer,Mid Level
472,Network Administrator,Senior
473,Network Administrator,Entry Level
474,Network Administrator,Entry Level
475,Software Developer,Mid Level
476,UX Designer,Entry Level
477,Network Administrator,Entry Level
478,DevOps Engineer,Entry Level
479,UX Designer,Mid Level
480,Database Administrator,Mid Level
481,Security Analyst,Senior
482,AI Engineer,Mid Level
483,Database Administrator,Mid Level
484,Network Administrator,Entry Level
485,Security Analyst,Entry Level
486,Software Developer,Entry Level
487,Database Administrator,Mid Level
488,Product Manager,Senior
489,Software Developer,Entry Level
490,Data Scientist,Mid Level
491,Security Analyst,Senior
492,Cloud Architect,Mid Level
493,DevOps Engineer,Senior
494,Software Developer,Mid Level
495,Database Administrator,Senior
496,Cloud Architect,Entry Level
497,DevOps Engineer,Entry Level
498,Security Analyst,Entry Level
499,DevOps Engineer,Senior
500,AI Engineer,Mid Level
